ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return
0,AAP,Advance Auto Parts Inc.,Consumer Cyclical,Increase,Above Fair Price,UnderValued,Sustainable,214.15,0.10339811046923,13084050432.0,Large,1.25,9.55,0.1525,13.932986,22.424082,109.18824666075326,12.97,0.17114896537588
1,ABT,Abbott Laboratories,Healthcare,Increase,Above Fair Price,OverValued,Average,118.29,0.181179493330253,209171038208.0,Large,0.74,3.94,0.1318,22.92442,30.022842,51.23475574297605,25.96,0.10915378750252096
2,ACN,Accenture plc,Technology,Increase,Above Fair Price,OverValued,Sustainable,323.905,0.2088364080614155,204708298752.0,Large,1.21,9.613,0.1134999999999999,31.025385,33.694477,121.14879408003061,9.45,0.16628659848385186
3,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Increase,Above Fair Price,OverValued,Not Sustainable,76.985,0.1228154647802346,43278426112.0,Large,0.81,4.79,0.066,14.804809,16.072025,19.449587550134467,36.42,0.11766292956357025
4,ADP,"Automatic Data Processing, Inc.",Industrials,Increase,Above Fair Price,OverValued,Sustainable,201.01,0.1827083108486189,84433240064.0,Large,0.83,6.46,0.1371,26.48353,31.116098,90.8019187089336,14.18,0.12009411300958432
5,ADSK,"Autodesk, Inc.",Technology,Increase,Below Fair Price,UnderValued,Sustainable,217.38,0.1909972055534983,47817732096.0,Large,1.43,5.928,0.2883,31.967648,36.67004,302.03834432782725,15.45,0.1930296163900067
6,AEE,Ameren Corporation,Utilities,Increase,Above Fair Price,OverValued,Average,84.6803,0.1422326899628305,21822111744.0,Large,0.35,3.84,0.079,19.51159,22.052162,23.85969248118759,29.05,0.06174571030524639
7,AEP,American Electric Power Company,Utilities,Increase,Above Fair Price,OverValued,Not Sustainable,85.56,0.119926962565201,42471129088.0,Large,0.35,4.762,0.057,17.25,17.96724,20.02788490617214,30.55,0.06174571030524639
8,AFL,AFLAC Incorporated,Financial Services,Decrease,Above Fair Price,UnderValued,Sustainable,63.05,0.1314845873580943,41116921856.0,Large,0.93,6.39,0.0316,11.484518,9.86698,11.857047192341636,17.3,0.13225003023965473
9,AJG,Arthur J. Gallagher & Co.,Financial Services,Increase,Above Fair Price,OverValued,Average,154.575,0.1933266476170196,32221775872.0,Large,0.71,4.37,0.1159999999999999,22.467297,35.371853,58.993809441392884,21.79,0.10550701233349984
10,AKAM,"Akamai Technologies, Inc.",Technology,Increase,Above Fair Price,OverValued,Sustainable,100.94,0.1060712614755601,16251340800.0,Large,0.54,3.93,0.12,15.340426,25.684479,39.78459635852632,19.94,0.08484195304238017
11,ALK,"Alaska Air Group, Inc.",Industrials,Increase,Above Fair Price,UnderValued,No Data,58.975,0.1416971807364471,7425659904.0,Small,1.55,3.77,-0.2339999999999999,9.073076,15.643236,0.7610554763012077,999.0,0.20761671706609122
12,ALLE,Allegion plc,Industrials,Increase,Above Fair Price,UnderValued,Average,114.1447,0.0971798283905254,10238312448.0,Large,1.14,5.086,0.0776999999999999,19.955368,22.442923,31.814577646056204,23.59,0.15777745642280255
13,AMAT,"Applied Materials, Inc.",Technology,Increase,Above Fair Price,OverValued,Sustainable,132.9797,0.2847623560603902,118154199040.0,Large,1.38,6.4,0.1654,15.025955,20.778078,74.94625064763284,11.6,0.18695165777497152
14,AMD,"Advanced Micro Devices, Inc.",Technology,Increase,Below Fair Price,OverValued,No Data,117.11,0.3190335859160902,141423198208.0,Large,1.95,3.242,0.3532,35.062874,36.122765,253.24526821347698,999.0,0.25624038598637283
15,AME,"AMETEK, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Average,128.28,0.1555683159733367,29674369024.0,Large,1.31,3.99,-0.012,23.79963,32.150375,16.355389115541623,25.95,0.17844251571392225
16,AMT,American Tower Corporation (REI,Real Estate,Decrease,Above Fair Price,OverValued,Sustainable,228.36,0.157656166739097,103998341120.0,Large,0.34,5.507,0.1657999999999999,41.824177,41.467224,129.09990991615595,10.87,0.06053011858223936
17,ANSS,"ANSYS, Inc.",Technology,Increase,Above Fair Price,UnderValued,Sustainable,305.4575,0.1632923130667727,26652082176.0,Large,1.24,5.318,0.1118,38.470715,57.438416,112.6886707744478,13.16,0.16993337365287298
18,ANTM,"Anthem, Inc.",Healthcare,Increase,Above Fair Price,OverValued,Sustainable,445.0,0.2291896505606983,108008177664.0,Large,1.05,22.228,0.1338,15.532287,20.019794,195.82922605179866,11.59,0.14683713091573922
19,AOS,A.O. Smith Corporation,Industrials,Increase,Above Fair Price,OverValued,Average,71.15,0.2178884486298628,11324376064.0,Large,1.13,2.89,0.08,20.504324,24.619377,20.215204640030862,25.2,0.15656186469979552
20,APD,"Air Products and Chemicals, Inc",Basic Materials,Increase,Above Fair Price,OverValued,Sustainable,238.23,0.1419721007081216,52811780096.0,Large,0.8,9.436,0.1296,20.274893,25.246927,101.39301820224514,10.81,0.11644733784056321
21,APTV,Aptiv PLC,Consumer Cyclical,Increase,Below Fair Price,UnderValued,Sustainable,139.98,0.1973225917904342,37866545152.0,Large,2.1,2.941,0.4625999999999999,30.364424,47.596054,609.3762670242875,13.49,0.27447426183147844
22,ARE,Alexandria Real Estate Equities,Real Estate,Decrease,Above Fair Price,OverValued,Sustainable,187.16,0.1365167596862477,29003063296.0,Large,0.84,6.514,0.001,61.163403,28.731962,26.841647958320735,15.15,0.12130970473259135
23,ATO,Atmos Energy Corporation,Utilities,Increase,Above Fair Price,OverValued,Not Sustainable,106.49,0.1599324174487524,14131755008.0,Large,0.5,5.12,0.072,18.079796,20.798828,28.297712752554563,31.78,0.079979586150352
24,ATVI,"Activision Blizzard, Inc",Communication Services,Increase,Above Fair Price,OverValued,Sustainable,81.46,0.2199058382750354,63448297472.0,Large,0.67,3.371,0.1326,21.436842,24.164936,35.50772588720256,19.12,0.10064464544147168
25,AVGO,Broadcom Inc.,Technology,Increase,Above Fair Price,OverValued,Average,584.1565,0.3535560371104986,241183014912.0,Large,1.03,15.0,0.1474,16.204063,38.943768,286.18856660408835,25.42,0.14440594746972513
26,AXP,American Express Company,Financial Services,Increase,Below Fair Price,UnderValued,Not Sustainable,195.11,0.1559901131221321,151123623936.0,Large,1.24,9.573,0.433,20.176836,20.38128,706.6179557909919,20.34,0.16993337365287298
27,BAX,Baxter International Inc.,Healthcare,Increase,Above Fair Price,OverValued,Average,83.8,0.1227213688221129,41958072320.0,Large,0.64,2.376,0.1117,19.13242,35.269363,30.890287073239623,27.1,0.09699787027245056
28,BEN,"Franklin Resources, Inc.",Financial Services,Increase,Above Fair Price,UnderValued,Sustainable,29.93,0.0099475795512395,15018724352.0,Large,1.2,3.57,0.0949,7.876316,8.383754,9.61980537780451,19.51,0.1650710067608448
29,BF-B,Brown Forman Inc,Consumer Defensive,Increase,Above Fair Price,OverValued,Average,66.03,0.1483528780013709,30869948416.0,Large,0.81,1.6,0.1059,34.752632,41.26875,23.220601263978978,22.36,0.11766292956357025
30,BIIB,Biogen Inc.,Healthcare,Increase,Above Fair Price,UnderValued,Not Sustainable,210.0,0.060576880933121,30847528960.0,Large,0.44,10.217,-0.065,11.3329735,20.553978,16.300961426316917,20.62,0.07268603581230976
31,BK,The Bank of New York Mellon Cor,Financial Services,Increase,Above Fair Price,UnderValued,Average,55.74,0.1235633309928103,46031261696.0,Large,1.15,3.925,0.1356,12.196937,14.201275,24.88197757298401,22.79,0.15899304814580958
32,BKR,Baker Hughes Company,Energy,Increase,Below Fair Price,UnderValued,No Data,29.185,-0.0015224034491927,25390016512.0,Large,1.62,0.18,3.4810000000000003,24.119833,162.13889,3021507.2244892237,999.0,0.2161258591271405
