ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return
0,AAP,Advance Auto Parts Inc.,Consumer Cyclical,,,,,214.15,0.10339811046923,13084050432.0,,1.25,9.55,0.1525,13.932986,22.424082,,12.97,
1,ABT,Abbott Laboratories,Healthcare,,,,,118.29,0.181179493330253,209171038208.0,,0.74,3.94,0.1318,22.92442,30.022842,,25.96,
2,ACN,Accenture plc,Technology,,,,,323.905,0.2088364080614155,204708298752.0,,1.21,9.613,0.1134999999999999,31.025385,33.694477,,9.45,
3,ADM,Archer-Daniels-Midland Company,Consumer Defensive,,,,,76.985,0.1228154647802346,43278426112.0,,0.81,4.79,0.066,14.804809,16.072025,,36.42,
4,ADP,"Automatic Data Processing, Inc.",Industrials,,,,,201.01,0.1827083108486189,84433240064.0,,0.83,6.46,0.1371,26.48353,31.116098,,14.18,
5,ADSK,"Autodesk, Inc.",Technology,,,,,217.38,0.1909972055534983,47817732096.0,,1.43,5.928,0.2883,31.967648,36.67004,,15.45,
6,AEE,Ameren Corporation,Utilities,,,,,84.6803,0.1422326899628305,21822111744.0,,0.35,3.84,0.079,19.51159,22.052162,,29.05,
7,AEP,American Electric Power Company,Utilities,,,,,85.56,0.119926962565201,42471129088.0,,0.35,4.762,0.057,17.25,17.96724,,30.55,
8,AFL,AFLAC Incorporated,Financial Services,,,,,63.05,0.1314845873580943,41116921856.0,,0.93,6.39,0.0316,11.484518,9.86698,,17.3,
9,AJG,Arthur J. Gallagher & Co.,Financial Services,,,,,154.575,0.1933266476170196,32221775872.0,,0.71,4.37,0.1159999999999999,22.467297,35.371853,,21.79,
10,AKAM,"Akamai Technologies, Inc.",Technology,,,,,100.94,0.1060712614755601,16251340800.0,,0.54,3.93,0.12,15.340426,25.684479,,19.94,
11,ALK,"Alaska Air Group, Inc.",Industrials,,,,,58.975,0.1416971807364471,7425659904.0,,1.55,3.77,-0.2339999999999999,9.073076,15.643236,,999.0,
12,ALLE,Allegion plc,Industrials,,,,,114.1447,0.0971798283905254,10238312448.0,,1.14,5.086,0.0776999999999999,19.955368,22.442923,,23.59,
13,AMAT,"Applied Materials, Inc.",Technology,,,,,132.9797,0.2847623560603902,118154199040.0,,1.38,6.4,0.1654,15.025955,20.778078,,11.6,
14,AMD,"Advanced Micro Devices, Inc.",Technology,,,,,117.11,0.3190335859160902,141423198208.0,,1.95,3.242,0.3532,35.062874,36.122765,,999.0,
15,AME,"AMETEK, Inc.",Industrials,,,,,128.28,0.1555683159733367,29674369024.0,,1.31,3.99,-0.012,23.79963,32.150375,,25.95,
16,AMT,American Tower Corporation (REI,Real Estate,,,,,228.36,0.157656166739097,103998341120.0,,0.34,5.507,0.1657999999999999,41.824177,41.467224,,10.87,
17,ANSS,"ANSYS, Inc.",Technology,,,,,305.4575,0.1632923130667727,26652082176.0,,1.24,5.318,0.1118,38.470715,57.438416,,13.16,
18,ANTM,"Anthem, Inc.",Healthcare,,,,,445.0,0.2291896505606983,108008177664.0,,1.05,22.228,0.1338,15.532287,20.019794,,11.59,
19,AOS,A.O. Smith Corporation,Industrials,,,,,71.15,0.2178884486298628,11324376064.0,,1.13,2.89,0.08,20.504324,24.619377,,25.2,
20,APD,"Air Products and Chemicals, Inc",Basic Materials,,,,,238.23,0.1419721007081216,52811780096.0,,0.8,9.436,0.1296,20.274893,25.246927,,10.81,
21,APTV,Aptiv PLC,Consumer Cyclical,,,,,139.98,0.1973225917904342,37866545152.0,,2.1,2.941,0.4625999999999999,30.364424,47.596054,,13.49,
22,ARE,Alexandria Real Estate Equities,Real Estate,,,,,187.16,0.1365167596862477,29003063296.0,,0.84,6.514,0.001,61.163403,28.731962,,15.15,
23,ATO,Atmos Energy Corporation,Utilities,,,,,106.49,0.1599324174487524,14131755008.0,,0.5,5.12,0.072,18.079796,20.798828,,31.78,
24,ATVI,"Activision Blizzard, Inc",Communication Services,,,,,81.46,0.2199058382750354,63448297472.0,,0.67,3.371,0.1326,21.436842,24.164936,,19.12,
25,AVGO,Broadcom Inc.,Technology,,,,,584.1565,0.3535560371104986,241183014912.0,,1.03,15.0,0.1474,16.204063,38.943768,,25.42,
26,AXP,American Express Company,Financial Services,,,,,195.11,0.1559901131221321,151123623936.0,,1.24,9.573,0.433,20.176836,20.38128,,20.34,
27,BAX,Baxter International Inc.,Healthcare,,,,,83.8,0.1227213688221129,41958072320.0,,0.64,2.376,0.1117,19.13242,35.269363,,27.1,
28,BEN,"Franklin Resources, Inc.",Financial Services,,,,,29.93,0.0099475795512395,15018724352.0,,1.2,3.57,0.0949,7.876316,8.383754,,19.51,
29,BF-B,Brown Forman Inc,Consumer Defensive,,,,,66.03,0.1483528780013709,30869948416.0,,0.81,1.6,0.1059,34.752632,41.26875,,22.36,
30,BIIB,Biogen Inc.,Healthcare,,,,,210.0,0.060576880933121,30847528960.0,,0.44,10.217,-0.065,11.3329735,20.553978,,20.62,
31,BK,The Bank of New York Mellon Cor,Financial Services,,,,,55.74,0.1235633309928103,46031261696.0,,1.15,3.925,0.1356,12.196937,14.201275,,22.79,
32,BKR,Baker Hughes Company,Energy,,,,,29.185,-0.0015224034491927,25390016512.0,,1.62,0.18,3.4810000000000003,24.119833,162.13889,,999.0,
33,BLL,Ball Corporation,Consumer Cyclical,,,,,90.586,0.1741265673475049,29340262400.0,,0.48,2.428,0.1564,22.257002,37.308895,,13.83,
34,BR,"Broadridge Financial Solutions,",Technology,,,,,141.55,0.2174805879625763,16501616640.0,,0.88,4.655,0.118,20.106535,30.408163,,16.45,
35,BXP,"Boston Properties, Inc.",Real Estate,,,,,121.005,0.0521152926569024,18901827584.0,,1.16,2.044,0.07,39.67377,59.2001,,13.57,
36,CAG,"ConAgra Brands, Inc.",Consumer Defensive,,,,,35.7,0.0906515721941614,17124932608.0,,0.79,2.481,0.0224,13.522727,14.389359,,32.92,
