ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return
NTNX,"Nutanix, Inc.",Technology,,,,,24.83,-0.03910153544083661,5387787264,,1.59,-5.674,-0.385,-91.96296,,,,
NTUS,Natus Medical Incorporated,Healthcare,,,,,23.51,0.0770658504091315,802920576,,0.55,0.495,0.22,16.44056,47.49495,,,
NTWK,NETSOL Technologies Inc.,Technology,,,,,4.02,-0.030860407767458242,45212940,,0.87,0.251,0.28,10.578947,16.015938,,,
NUAN,"Nuance Communications, Inc.",Technology,,,,,55.11,0.09626354278551986,17601361920,,1.1,-0.327,0.052000000000000005,134.41464,,,,
NURO,"NeuroMetrix, Inc.",Healthcare,,,,,4.28,-0.4440297595351319,29926788,,2.84,-0.446,0.15,10.700001,,,,
NUVA,"NuVasive, Inc.",Healthcare,,,,,50.12,0.12806496351977859,2593013248,,1.17,-0.498,0.2514,21.69697,,,,
NVCR,NovoCure Limited,Healthcare,,,,,77.79,0.13461915079435283,8076080128,,0.94,-0.268,0.6,-210.24324,,,,
NVEC,NVE Corporation,Technology,,,,,56.22,0.04542349055664463,271751168,,1.11,2.86,0.25,19.865725,19.657343,,,
NVEE,"NV5 Global, Inc.",Industrials,,,,,101.4,0.29406092830236985,1561671552,,0.97,2.573,0.17850000000000002,20.609756,39.409252,,,
NVEI,Nuvei Corporation - Subordinate,Technology,,,,,53.13,0.03246747241936587,7573894144,,,0.802,0.426,25.791264,66.24689,,,
NVTS,Navitas Semiconductor Corporati,Technology,,,,,9.1,-0.03354164820168681,1071379456,,,-3.898,1.286,-43.333336,,,,
NWBI,"Northwest Bancshares, Inc.",Financial Services,,,,,14.15,0.06690804314556686,1791559808,,0.57,1.242,0.07,14.739583,11.392915,,,
NWE,NorthWestern Corporation,Utilities,,,,,59.47,0.09354058611807382,3216262656,,0.48,3.6,0.045,16.752113,16.519445,,,
NWPX,Northwest Pipe Company,Industrials,,,,,28.52,0.011136691694635159,281508672,,0.86,1.46,0.1,10.969232,19.534246,,,
NXGN,"NextGen Healthcare, Inc.",Healthcare,,,,,18.79,-0.06839576750795207,1256391552,,1.18,0.01,0.07,18.42157,1879.0001,,,
NXST,"Nexstar Media Group, Inc.",Communication Services,,,,,176.7,0.37835648044765313,7225475072,,1.57,20.895,0.1632,7.6692705,8.456568,,,
NXTC,"NextCure, Inc.",Healthcare,,,,,4.98,-0.12936198172685343,137578480,,-0.13,-2.461,-0.317,-1.8651685,,,,
NYMT,"New York Mortgage Trust, Inc.",Real Estate,,,,,3.47,0.05951921714113673,1316122496,,1.9,0.501,0.0659,7.382979,6.926148,,,
OAS,Oasis Petroleum Inc.,Energy,,,,,122.5,0.14045531539858058,2419325952,,,14.306,0.03,5.420354,8.56284,,,
OCDX,Ortho Clinical Diagnostics Hold,Healthcare,,,,,17.66,0.00929118665168338,4188492800,,,-0.417,0.42100000000000004,21.02381,,,,
OCFC,OceanFirst Financial Corp.,Financial Services,,,,,22.68,0.076153260687708,1347727232,,0.94,1.94,0.1,11.009709,11.6907215,,,
