,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
56,CTLT,"Catalent, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,97.61,0.1718035335453003,16709660672.0,Large,1.34,3.177,0.1617,23.240477,30.723953,53.46008590293272,999.0,0.1820892908829433,0.3595035517245141,0.2858141015496978,0.859
102,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Increase,Below Fair Price,OverValued,Not Sustainable,489.56,0.27228967237564,41511555072.0,Large,0.94,8.718,0.243,52.025505,56.15508,492.8735516797967,20.74,0.1334656219626617,0.3051682123350466,0.2912339865220406,0.904
106,IQV,"IQVIA Holdings, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,Sustainable,226.16,0.1830655705625421,43205607424.0,Large,1.4,3.929,0.2213,22.281775,57.56172,194.31505347933123,19.24,0.1893828412209856,0.3013225235486744,0.2409980698968488,0.779
272,BDSI,BioDelivery Sciences Internatio,Healthcare,Increase,Below Fair Price,UnderValued,No Data,5.56,0.0917097979843979,549305216.0,Small,0.84,0.29,0.25,16.848484,19.172415,5.887818002831393,999.0,0.1213097047325913,0.5658906168834178,0.2466274768171832,0.609
287,BRKR,Bruker Corporation,Healthcare,Increase,Above Fair Price,UnderValued,No Data,68.965,0.159606749802551,10458887168.0,Large,1.23,1.771,0.2055,30.115719,38.941273,52.7015125010845,999.0,0.1687177819298659,0.3338620052995442,0.2420526821979975,0.729
310,CDMO,"Avid Bioservices, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,19.645,0.1463025673351257,1209768576.0,Small,2.3,0.136,0.15,61.39063,144.44853,9.82250004,999.0,0.2987860962916192,0.6882506978268382,0.6546174921312331,0.834
351,CRSP,CRISPR Therapeutics AG,Healthcare,Increase,Above Fair Price,UnderValued,No Data,55.66,0.1472636149196591,4259492864.0,Small,2.08,5.263,-2.004,-7.90625,10.575717,-8.200419076983302,999.0,0.2720430783854643,0.6496056008318282,0.2957331728111201,0.684
542,ICLR,ICON plc,Healthcare,Increase,Below Fair Price,OverValued,No Data,220.25,0.2643384495783398,17927866368.0,Large,0.87,2.939,0.2548,19.152174,74.94046,241.42151559787985,999.0,0.1249564799016124,0.296963676469605,0.2230683588227076,0.824
631,MEDP,"Medpace Holdings, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,140.03,0.1755287424985363,5032566272.0,Small,1.32,4.83,0.1421,25.55292,28.991718,65.80330508926768,999.0,0.1796581074369293,0.4981298665934074,0.3450480447989288,0.938
651,MODV,ModivCare Inc.,Healthcare,Increase,Below Fair Price,OverValued,No Data,101.51,0.2099904964387156,1421119744.0,Small,0.59,1.594,0.6845,13.552737,63.68256,1575.5689355375357,999.0,0.0909199116574153,0.3837285996369839,0.2029707814763639,0.644
711,OPCH,"Option Care Health, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,23.19,-0.0122803515255673,4171301632.0,Small,1.86,0.451,0.1,25.766668,51.41907,7.77184922959266,999.0,0.2453000604793094,0.6048629499501228,0.2860653363308243,0.721
715,OPRX,OptimizeRx Corporation,Healthcare,Increase,Below Fair Price,OverValued,No Data,41.65,0.3302717741378582,740099712.0,Small,0.57,0.067,0.5,49.0,621.6418,227.5756462375361,999.0,0.0884887282114012,0.6790043563814139,0.8086830856653858,1.132
778,RGEN,Repligen Corporation,Healthcare,Increase,Below Fair Price,OverValued,No Data,181.46,0.4555904556978458,10032651264.0,Large,0.81,2.101,0.285,57.97444,86.36839,246.3760377250554,999.0,0.1176629295635702,0.4153065829647982,0.4483275075162317,0.935
882,TNDM,"Tandem Diabetes Care, Inc.",Healthcare,Increase,Below Fair Price,UnderValued,No Data,105.21,-0.0586739616483581,6684275200.0,Small,0.38,0.339,5.9,140.28,310.354,530137228.3130886,999.0,0.0653924854742675,0.7914019801019909,0.3536112896919252,0.918
931,XOMA,XOMA Corporation,Healthcare,Increase,Above Fair Price,UnderValued,No Data,20.76,-0.0348527807680436,234820512.0,Small,0.81,0.082,0.19,-90.26087,253.17073,14.120154214729668,999.0,0.1176629295635702,0.6890784751717434,0.3715724505937341,0.732
