,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
12,ALLE,Allegion plc,Industrials,Increase,Above Fair Price,UnderValued,Average,114.1447,0.0971798283905254,10238312448.0,Large,1.14,5.086,0.0776999999999999,19.955368,22.442923,31.814577646056204,23.59,0.1577774564228025,0.2792126426398225,0.1180044623599338,0.402
15,AME,"AMETEK, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Average,128.28,0.1555683159733367,29674369024.0,Large,1.31,3.99,-0.012,23.79963,32.150375,16.355389115541623,25.95,0.1784425157139222,0.2696224538634031,0.2069435199029104,0.762
37,CAT,"Caterpillar, Inc.",Industrials,Increase,Below Fair Price,UnderValued,Not Sustainable,193.16,0.0842141713736195,104488361984.0,Large,0.9,9.348,0.3224,17.721102,20.663244,339.52535657974124,34.28,0.1286032550706336,0.3149582955642885,0.1758011846215353,0.735
45,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Sustainable,92.095,0.0552390426398146,11971152896.0,Large,0.76,5.646,0.1239,15.222314,16.311548,37.45195857525241,19.83,0.111584970948535,0.2620047286898243,0.0715731762651028,0.36
49,CMI,Cummins Inc.,Industrials,Increase,Above Fair Price,UnderValued,Sustainable,216.06,0.0860946008782228,30903492608.0,Large,1.03,15.211,0.1852,11.83242,14.204194,141.70611381581293,19.36,0.1444059474697251,0.2797699476246725,0.0984620832344531,0.389
72,EFX,"Equifax, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Average,210.83,0.1881711355811717,25721681920.0,Large,1.43,5.654,0.136,23.957954,37.288647,94.41192509880467,25.71,0.1930296163900067,0.3064716424672785,0.1366999095503669,0.489
87,GD,General Dynamics Corporation,Industrials,Increase,Above Fair Price,UnderValued,Not Sustainable,219.79,0.1478916102306549,61370421248.0,Large,1.08,11.652,0.0855,17.653814,18.862854,65.36808624775844,34.88,0.1504839060847603,0.2470107486673913,0.0598972619526649,0.326
92,GWW,"W.W. Grainger, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Sustainable,474.32,0.1062721479898664,24436967424.0,Large,1.24,17.495,0.1538,20.304794,27.111746,244.30687394162507,14.6,0.1699333736528729,0.3175451568114952,0.1540304656700239,0.62
100,HWM,Howmet Aerospace Inc.,Industrials,Increase,Below Fair Price,UnderValued,No Data,34.795,0.0631642977500477,14865048576.0,Large,1.61,0.661,0.3354999999999999,24.85357,52.639935,66.83458815293866,999.0,0.2149102674041334,0.4604248949034051,0.0589680266597862,0.33
112,J,Jacobs Engineering Group Inc.,Industrials,Increase,Above Fair Price,UnderValued,Average,120.31,0.1019264299772033,15574490112.0,Large,0.82,3.196,0.1303,14.636252,37.64393,51.4914020562226,25.36,0.1188785212865772,0.2913326375694534,0.1610986526317095,0.729
113,JCI,Johnson Controls International ,Industrials,Increase,Above Fair Price,UnderValued,Sustainable,65.595,0.1438477849059087,46200659968.0,Large,1.1,2.272,0.1932999999999999,18.741428,28.871038,45.74113451131491,13.64,0.1529150895307744,0.2748452592953732,0.1113877912594039,0.477
125,LHX,"L3Harris Technologies, Inc.",Industrials,Increase,Below Fair Price,OverValued,No Data,220.65,0.2039613823546302,43297042432.0,Large,0.87,7.514,0.418,16.129385,29.365185,726.9080037116444,999.0,0.1249564799016124,0.2734010279654513,0.1902863606032665,0.722
158,ODFL,"Old Dominion Freight Line, Inc.",Industrials,Increase,Below Fair Price,OverValued,No Data,287.86,0.31024307766249,33107064832.0,Large,1.02,8.087,0.2929,27.974731,35.595398,413.0048546620741,999.0,0.1431903557467181,0.2980058001614677,0.3826581542503724,1.231
