,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
5,ADSK,"Autodesk, Inc.",Technology,Increase,Below Fair Price,UnderValued,Sustainable,217.38,0.1909972055534983,47817732096.0,Large,1.43,5.928,0.2883,31.967648,36.67004,302.03834432782725,15.45,0.1930296163900067,0.3848940997411827,0.2091611939131144,0.611
14,AMD,"Advanced Micro Devices, Inc.",Technology,Increase,Below Fair Price,OverValued,No Data,117.11,0.3190335859160902,141423198208.0,Large,1.95,3.242,0.3532,35.062874,36.122765,253.2452682134769,999.0,0.2562403859863728,0.5641073534845676,0.5696068218847044,0.98
17,ANSS,"ANSYS, Inc.",Technology,Increase,Above Fair Price,UnderValued,Sustainable,305.4575,0.1632923130667727,26652082176.0,Large,1.24,5.318,0.1118,38.470715,57.438416,112.6886707744478,13.16,0.1699333736528729,0.3167930924552715,0.2716628484847017,0.776
57,CTSH,Cognizant Technology Solutions ,Technology,Increase,Above Fair Price,UnderValued,Sustainable,85.76,0.0985981027300706,45567635456.0,Large,1.13,3.545,0.1398,18.973452,24.19182,39.576018180602006,17.47,0.1565618646997955,0.290279010863123,0.1155364764643673,0.426
73,EPAM,"EPAM Systems, Inc.",Technology,Increase,Below Fair Price,OverValued,No Data,428.835,0.408648851251653,24323348480.0,Large,1.43,7.211,0.285,38.391674,59.46956,582.2477393379265,999.0,0.1930296163900067,0.3764047957361339,0.4226417487809333,0.814
89,GLW,Corning Incorporated,Technology,Increase,Above Fair Price,UnderValued,Sustainable,41.48,0.1463355903351557,35399364608.0,Large,1.08,1.004,0.2214,17.87931,41.314743,35.66559309597798,19.42,0.1504839060847603,0.3255236089559359,0.1146381647030938,0.385
152,NLOK,NortonLifeLock Inc.,Technology,Increase,Above Fair Price,UnderValued,Sustainable,27.43,0.1452306364005053,15957539840.0,Large,1.08,1.496,0.127,13.923858,18.335562,11.434850871104173,15.23,0.1504839060847603,0.4296176994165808,0.1232168627690684,0.423
155,NTAP,"NetApp, Inc.",Technology,Increase,Above Fair Price,UnderValued,Sustainable,88.215,0.0953120146855885,19608252416.0,Large,1.21,4.113,0.088,16.009981,21.447847,26.785016104719105,16.58,0.1662865984838518,0.3732015705808548,0.1853055843783351,0.615
161,ORCL,Oracle Corporation,Technology,Increase,Above Fair Price,UnderValued,Sustainable,74.26,0.1154127908329325,198307610624.0,Large,0.81,3.543,0.0964,14.11787,20.959639,24.16382231577757,14.47,0.1176629295635702,0.2769716460174193,0.1495104840173158,0.547
172,PTC,PTC Inc.,Technology,Increase,Above Fair Price,UnderValued,Sustainable,106.89,0.1490535964869588,12599337984.0,Large,1.28,4.03,0.1644999999999999,21.124506,26.523571,59.824891277306286,19.62,0.1747957405449011,0.3626138712600038,0.1527351215904839,0.513
176,QCOM,QUALCOMM Incorporated,Technology,Increase,Below Fair Price,UnderValued,Sustainable,165.65,0.1307693260874896,185527992320.0,Large,1.27,7.87,0.2562,14.231099,21.048285,183.4045014503509,18.0,0.1735801488218941,0.3759611133834176,0.2976234092247587,0.731
177,QRVO,"Qorvo, Inc.",Technology,Increase,Above Fair Price,UnderValued,Not Sustainable,129.97,0.0631313637359067,14325683200.0,Large,1.38,9.656,0.145,9.883651,13.460025,62.48588782736169,32.3,0.1869516577749715,0.4133492133589502,0.164391418313337,0.477
239,AMKR,"Amkor Technology, Inc.",Technology,Increase,Above Fair Price,UnderValued,No Data,22.43,0.1337806696166696,5484695552.0,Small,1.51,2.269,0.2144,9.155102,9.885412,18.313634331216807,999.0,0.202754350174063,0.5384289237221526,0.1837240663618502,0.51
243,AOSL,Alpha and Omega Semiconductor L,Technology,Increase,Above Fair Price,UnderValued,No Data,49.26,0.1653965267550214,1299355648.0,Small,2.56,2.612,0.17,11.617925,18.859112,28.764485420935927,999.0,0.3303914810898022,0.5707943067759487,0.2017500723168475,0.662
244,APPS,"Digital Turbine, Inc.",Technology,Increase,Below Fair Price,UnderValued,No Data,43.8,0.2786574103885908,4232205312.0,Small,2.19,0.53,0.5,20.372091,82.64151,239.32324681591416,999.0,0.2854145873385417,0.7190356492466115,1.3250254159705164,1.395
249,ASML,ASML Holding N.V. - New York Re,Technology,Increase,Below Fair Price,OverValued,No Data,634.79,0.3419632815808529,258025619456.0,Large,0.95,15.017,0.298,32.420326,42.271423,943.60823418666,999.0,0.1346812136856688,0.3606687625312729,0.4110640060317977,1.065
252,ASYS,"Amtech Systems, Inc.",Technology,Increase,Above Fair Price,UnderValued,No Data,9.83,0.0091973602097734,140661408.0,Small,1.54,0.106,0.2,7.1751823,92.73585,7.208985928902103,999.0,0.2064011253430841,0.5711725957370994,0.1214949544801717,0.48
258,AUDC,AudioCodes Ltd.,Technology,Increase,Below Fair Price,OverValued,No Data,27.675,0.2341875383602807,914105216.0,Small,0.54,1.028,0.25,16.875,26.921206,29.306717914574417,999.0,0.0848419530423801,0.4463574482314562,0.3626719270354326,0.841
