,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
78,ETR,Entergy Corporation,Utilities,Increase,Above Fair Price,UnderValued,Not Sustainable,105.055,0.0920090957258779,21114058752.0,Large,0.61,6.178999999999999,0.06,16.570189000000003,17.001942,25.226613539582548,30.28,0.0933510951034294,0.2600919745149293,0.11878228424095515,0.506
39,CBRE,CBRE Group Inc,Real Estate,Increase,Above Fair Price,UnderValued,Sustainable,99.53,0.1828078828087709,33309304832.0,Large,1.4,4.29,0.11,17.647163,23.200466,36.18680586765678,6.99,0.1893828412209856,0.3512163589541254,0.24406497977064354,0.643
74,EQIX,"Equinix, Inc.",Real Estate,Increase,Below Fair Price,OverValued,Sustainable,681.02,0.1989202102803438,61319860224.0,Large,0.36,4.743,0.37,88.10091,143.58423,1645.6384035235494,14.71,0.0629613020282534,0.2722856217147544,0.1481630333115158,0.586
184,SBAC,SBA Communications Corporation,Real Estate,Increase,Below Fair Price,OverValued,Sustainable,297.16,0.2042531142449553,32325361664.0,Large,0.31,2.6060000000000003,1.8932,74.663315,114.02917,599909.7544044027,14.52,0.0568833434132182,0.2676043181436077,0.23726847243340865,0.841
581,LAMR,Lamar Advertising Company,Real Estate,Increase,Above Fair Price,UnderValued,Sustainable,109.85,0.1678058093415884,11121103872.0,Large,1.44,3.6889999999999996,0.03,23.422174,29.777718,20.371571449737214,16.28,0.1942452081130137,0.4135499373875815,0.12852133969933588,0.439
26,AXP,American Express Company,Financial Services,Increase,Below Fair Price,UnderValued,Not Sustainable,195.11,0.1559901131221321,151123623936.0,Large,1.24,9.573,0.433,20.176835999999998,20.38128,706.6179557909918,20.34,0.1699333736528729,0.3429999898076207,0.21012131608291496,0.621
51,COF,Capital One Financial Corporati,Financial Services,Decrease,Below Fair Price,UnderValued,Average,153.68,0.1401971758806155,65409589248.0,Large,1.65,26.739,0.452,7.9585705,5.7474099999999995,626.6229963512923,23.22,0.2197726342961616,0.3983217919687172,0.12951073786214207,0.405
136,MET,"MetLife, Inc.",Financial Services,Increase,Above Fair Price,UnderValued,Sustainable,69.59,0.1095010643659904,58536321024.0,Large,1.26,5.992000000000001,0.0834999999999999,9.6652775,11.613817,20.35618856829221,14.74,0.172364557098887,0.3387442910893368,0.11483902758213115,0.421
169,PNC,"PNC Financial Services Group, I",Financial Services,Increase,Above Fair Price,UnderValued,Average,204.41,0.1612103898598125,86392045568.0,Large,1.34,10.173,-0.0426,14.497163,20.093384,19.635066568353736,22.64,0.1820892908829433,0.3245643783500684,0.13101470229631818,0.453
185,SBNY,Signature Bank,Financial Services,Increase,Above Fair Price,UnderValued,Average,337.79,0.19678821945983604,20481019904.0,Large,1.89,13.954,0.0632,19.570684,24.207396,83.3433486387685,28.14,0.2489468356483305,0.4044511937930991,0.16967107275081575,0.534
