,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
78,ETR,Entergy Corporation,Utilities,Increase,Above Fair Price,UnderValued,Not Sustainable,105.055,0.0920090957258779,21114058752.0,Large,0.61,6.179,0.06,16.570189,17.001942,25.226613539582544,30.28,0.0933510951034294,0.2600919745149293,0.1187822842409551,
581,LAMR,Lamar Advertising Company,Real Estate,Increase,Above Fair Price,UnderValued,Sustainable,109.85,0.1678058093415884,11121103872.0,Large,1.44,3.689,0.03,23.422174,29.777718,20.371571449737218,16.28,0.1942452081130137,0.4135499373875815,0.1285213396993358,0.457
26,AXP,American Express Company,Financial Services,Increase,Below Fair Price,UnderValued,Not Sustainable,195.11,0.1559901131221321,151123623936.0,Large,1.24,9.573,0.433,20.176836,20.38128,706.6179557909919,20.34,0.1699333736528729,0.3429999898076207,0.2101213160829149,0.657
51,COF,Capital One Financial Corporati,Financial Services,Decrease,Below Fair Price,UnderValued,Average,153.68,0.1401971758806155,65409589248.0,Large,1.65,26.739,0.452,7.9585705,5.74741,626.6229963512923,23.22,0.2197726342961616,0.3983217919687172,0.129510737862142,0.432
136,MET,"MetLife, Inc.",Financial Services,Increase,Above Fair Price,UnderValued,Sustainable,69.59,0.1095010643659904,58536321024.0,Large,1.26,5.992,0.0834999999999999,9.6652775,11.613817,20.35618856829221,14.74,0.172364557098887,0.3387442910893368,0.1148390275821311,0.466
156,NTRS,Northern Trust Corporation,Financial Services,Increase,Above Fair Price,UnderValued,Average,118.05,0.1291335338567207,24514379776.0,Large,1.16,6.34,0.1866,15.55336,18.619873,78.25183121828843,24.39,0.1602086398688166,0.3172052095069936,0.0838434768509794,0.369
162,PBCT,People's,Financial Services,Increase,Above Fair Price,UnderValued,Average,21.01,0.0994408274059144,8992804864.0,Small,0.99,0.702,0.1074,19.275229,29.928774,7.479217322993766,23.64,0.1395435805776969,0.3595428438642484,0.0527980654175306,0.335
165,PFG,Principal Financial Group Inc,Financial Services,Increase,Above Fair Price,UnderValued,Sustainable,71.68,0.134754665540689,19000145920.0,Large,1.6,6.22,0.1646999999999999,10.24,11.5241165,40.18038975087835,17.0,0.2136946756811264,0.3682669297516604,0.0658649830039068,0.318
169,PNC,"PNC Financial Services Group, I",Financial Services,Increase,Above Fair Price,UnderValued,Average,204.41,0.1612103898598125,86392045568.0,Large,1.34,10.173,-0.0426,14.497163,20.093384,19.635066568353736,22.64,0.1820892908829433,0.3245643783500684,0.1310147022963181,0.487
185,SBNY,Signature Bank,Financial Services,Increase,Above Fair Price,UnderValued,Average,337.79,0.196788219459836,20481019904.0,Large,1.89,13.954,0.0632,19.570684,24.207396,83.3433486387685,28.14,0.2489468356483305,0.4044511937930991,0.1696710727508157,0.545
193,TFC,Truist Financial Corporation,Financial Services,Increase,Above Fair Price,UnderValued,No Data,62.23,0.1104990340593254,83070205952.0,Large,1.27,4.238,0.046,12.804526,14.683813,13.257889633960064,999.0,0.1735801488218941,0.360569432186703,0.0860075486740052,0.375
