,weights,returns,volatility,sectors,Example: 10k
AMD,0.0186081,0.010599359840999998,0.010497015290999999,Technology,186.081
EPAM,0.0243957,0.010310598648,0.00918254148,Technology,243.957
APPS,0.0674058,0.089314707174,0.048467466432,Technology,674.058
ASML,0.0336126,0.013816795355999998,0.012123056442,Technology,336.126
AUDC,0.0287763,0.010436300721,0.012844589268,Technology,287.76300000000003
DSGX,0.0048951,0.0013002364620000003,0.0014265789930000001,Technology,48.951
TTD,0.0323043,0.030885495144000002,0.022076435577000002,Technology,323.043
IDXX,0.033955599999999996,0.009888889387999998,0.010362230451999998,Healthcare,339.556
BDSI,0.0057176,0.0014101316879999999,0.0032355326639999997,Healthcare,57.175999999999995
CDMO,0.013279,0.00869269898,0.00913927175,Healthcare,132.79
ICLR,0.0121856,0.0027182417919999996,0.0036186357759999998,Healthcare,121.856
MEDP,0.004215399999999999,0.0014545237699999998,0.0020998172019999995,Healthcare,42.153999999999996
OPCH,1.5399999999999998e-05,4.405477999999999e-06,9.314843999999998e-06,Healthcare,0.15399999999999997
OPRX,0.030736999999999997,0.024856397159999995,0.020870423,Healthcare,307.36999999999995
RGEN,0.032923799999999996,0.014760727253999998,0.013673583377999999,Healthcare,329.23799999999994
TNDM,0.00034439999999999997,0.00012178328399999999,0.00027255815999999996,Healthcare,3.4439999999999995
XOMA,0.006626199999999999,0.002462097134,0.004565981895999999,Healthcare,66.26199999999999
CBRE,0.045057599999999996,0.010996757856,0.015825130272,Real Estate,450.57599999999996
SBAC,0.09494239999999998,0.022526983247999996,0.025406586239999997,Real Estate,949.4239999999999
ODFL,0.05571824999999999,0.021321145544999996,0.016604595682499997,Industrial,557.1824999999999
GLDD,0.0010436999999999998,0.00023248417499999996,0.00042487983299999995,Industrial,10.436999999999998
HSON,0.00631785,0.0011074559265,0.002982151557,Industrial,63.1785
KRNT,0.00626115,0.002456624814,0.0031969431900000004,Industrial,62.6115
RCII,0.00255465,0.0007511437395,0.001227151674,Industrial,25.546499999999998
SAIA,0.00011024999999999998,4.393021499999999e-05,4.388280749999999e-05,Industrial,1.1024999999999998
SBLK,0.00286755,0.0007747833345,0.001675509465,Industrial,28.6755
TRNS,0.0301266,0.013779304308,0.012768255611999998,Industrial,301.266
HLT,0.0014122499999999999,0.00029636066249999997,0.000444322095,Consumer Cyclical,14.122499999999999
TSLA,0.03288075,0.0243182738925,0.02009539917,Consumer Cyclical,328.8075
CHDN,0.0082509,0.002951511948,0.0035376558839999997,Consumer Cyclical,82.509
CLAR,0.0222789,0.006831601896,0.008767415517,Consumer Cyclical,222.78900000000002
FIVE,0.00434385,0.0014444604404999998,0.001967416542,Consumer Cyclical,43.4385
FOXF,0.00870345,0.003200084496,0.004026390039,Consumer Cyclical,87.0345
LULU,0.027127799999999997,0.00980127414,0.010657427507999999,Consumer Cyclical,271.27799999999996
Bonds,0.3,0.00534,0.0,Bonds,3000.0
