,weights,returns,volatility,sectors,Example: 10k
AMD,0.026583,0.015141942629999999,0.01499573613,Technology,265.83
EPAM,0.034851,0.014729426640000001,0.0131179164,Technology,348.51
APPS,0.09629399999999999,0.12759243882,0.06923923775999999,Technology,962.9399999999999
ASML,0.048018,0.019738279079999997,0.01731865206,Technology,480.18
AUDC,0.041109,0.014909001029999999,0.018349413239999997,Technology,411.09
DSGX,0.006993,0.00185748066,0.00203796999,Technology,69.93
TTD,0.046148999999999996,0.04412213592,0.03153776511,Technology,461.48999999999995
IDXX,0.048508,0.01412698484,0.014803186360000001,Healthcare,485.08000000000004
BDSI,0.008168,0.00201447384,0.00462218952,Healthcare,81.67999999999999
CDMO,0.01897,0.0124181414,0.013056102500000001,Healthcare,189.70000000000002
ICLR,0.017408000000000003,0.0038832025600000005,0.005169479680000001,Healthcare,174.08000000000004
MEDP,0.0060220000000000004,0.0020778911,0.0029997388600000005,Healthcare,60.220000000000006
OPCH,2.2000000000000003e-05,6.29354e-06,1.3306920000000001e-05,Healthcare,0.22000000000000003
OPRX,0.043910000000000005,0.0355091388,0.029814890000000004,Healthcare,439.1
RGEN,0.047034,0.02108675322,0.01953369054,Healthcare,470.34
TNDM,0.000492,0.00017397612,0.0003893688,Healthcare,4.92
XOMA,0.009466,0.0035172816200000003,0.00652283128,Healthcare,94.66000000000001
CBRE,0.06436800000000001,0.015709654080000003,0.022607328960000003,Real Estate,643.6800000000001
SBAC,0.135632,0.03218140464,0.0362951232,Real Estate,1356.32
ODFL,0.07959749999999999,0.030458779349999996,0.023720850974999996,Industrial,795.9749999999999
GLDD,0.001491,0.00033212024999999996,0.00060697119,Industrial,14.909999999999998
HSON,0.0090255,0.001582079895,0.00426021651,Industrial,90.25500000000001
KRNT,0.0089445,0.00350946402,0.0045670617000000005,Industrial,89.445
RCII,0.0036495,0.001073062485,0.00175307382,Industrial,36.495
SAIA,0.00015749999999999998,6.275744999999999e-05,6.268972499999999e-05,Industrial,1.5749999999999997
SBLK,0.0040965,0.001106833335,0.0023935849500000004,Industrial,40.965
TRNS,0.043038,0.01968472044,0.018240365159999997,Industrial,430.38
HLT,0.0020174999999999998,0.00042337237499999995,0.00063474585,Consumer Cyclical,20.174999999999997
TSLA,0.04697249999999999,0.03474039127499999,0.028707713099999997,Consumer Cyclical,469.7249999999999
CHDN,0.011786999999999999,0.004216445639999999,0.005053794119999999,Consumer Cyclical,117.86999999999999
CLAR,0.031827,0.009759431280000001,0.01252487931,Consumer Cyclical,318.27000000000004
FIVE,0.006205499999999999,0.0020635149149999996,0.0028105950599999997,Consumer Cyclical,62.05499999999999
FOXF,0.0124335,0.00457154928,0.00575198577,Consumer Cyclical,124.33500000000001
LULU,0.038754,0.014001820199999999,0.015224896439999998,Consumer Cyclical,387.53999999999996
Bonds,0.0,0.0,0.0,Bonds,0.0
