,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
78,ETR,Entergy Corporation,Utilities,Increase,Above Fair Price,UnderValued,Not Sustainable,105.055,0.0920090957258779,21114058752.0,Large,0.61,6.179,0.06,16.570189,17.001942,25.226613539582544,30.28,0.0933510951034294,0.2600919745149293,0.1187822842409551,0.532
52,COP,ConocoPhillips,Energy,Increase,Above Fair Price,UnderValued,Not Sustainable,89.27,0.0808561275088817,117742665728.0,Large,1.62,3.687,-0.018,11.444871,24.212095,10.774530084188443,34.87,0.2161258591271405,0.4206813348574402,0.1487942791453684,0.601
284,BOOM,DMC Global Inc.,Energy,Increase,Above Fair Price,UnderValued,No Data,34.6,0.042223223526143,666949568.0,Small,1.08,0.093,0.2,32.95238,372.043,25.374456092938075,999.0,0.1504839060847603,0.5744972378531287,0.1638481549829804,0.582
259,AVID,"Avid Technology, Inc.",Communication Services,Increase,Above Fair Price,UnderValued,No Data,29.93,0.0978247667088238,1347508480.0,Small,1.22,0.717,0.15,19.69079,41.743374,14.964999579,999.0,0.1675021902068589,0.6132754416232755,0.4026753487980781,0.941
466,FWONK,Liberty Media Corporation - Ser,Communication Services,Increase,Above Fair Price,UnderValued,No Data,61.87,0.0965064420780112,14189512704.0,Large,1.23,0.004,-0.685,515.5833,15467.499,0.0002685125031444,999.0,0.1687177819298659,0.3714992021600902,0.156118836066043,0.51
767,QNST,"QuinStreet, Inc.",Communication Services,Increase,Below Fair Price,UnderValued,No Data,10.76,-0.002836284438326,583648256.0,Small,0.73,0.223,0.25,11.569893,48.25112,11.394409408155786,999.0,0.1079381957795139,0.5879753358186337,0.2695900150683081,0.648
893,TTGT,"TechTarget, Inc.",Communication Services,Increase,Below Fair Price,OverValued,No Data,73.2,0.2633077600398072,2109601920.0,Small,0.89,0.694,0.3883,28.262548,105.4755,199.31978835449425,999.0,0.1273876633476265,0.4557098459028583,0.5402163795896469,1.153
56,CTLT,"Catalent, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,97.61,0.1718035335453003,16709660672.0,Large,1.34,3.177,0.1617,23.240477,30.723953,53.46008590293272,999.0,0.1820892908829433,0.3595035517245141,0.2858141015496978,0.876
102,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Increase,Below Fair Price,OverValued,Not Sustainable,489.56,0.27228967237564,41511555072.0,Large,0.94,8.718,0.243,52.025505,56.15508,492.8735516797967,20.74,0.1334656219626617,0.3051682123350466,0.2912339865220406,0.914
106,IQV,"IQVIA Holdings, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,Sustainable,226.16,0.1830655705625421,43205607424.0,Large,1.4,3.929,0.2213,22.281775,57.56172,194.31505347933123,19.24,0.1893828412209856,0.3013225235486744,0.2409980698968488,0.795
272,BDSI,BioDelivery Sciences Internatio,Healthcare,Increase,Below Fair Price,UnderValued,No Data,5.56,0.0917097979843979,549305216.0,Small,0.84,0.29,0.25,16.848484,19.172415,5.887818002831393,999.0,0.1213097047325913,0.5658906168834178,0.2466274768171832,0.613
287,BRKR,Bruker Corporation,Healthcare,Increase,Above Fair Price,UnderValued,No Data,68.965,0.159606749802551,10458887168.0,Large,1.23,1.771,0.2055,30.115719,38.941273,52.7015125010845,999.0,0.1687177819298659,0.3338620052995442,0.2420526821979975,0.771
310,CDMO,"Avid Bioservices, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,19.645,0.1463025673351257,1209768576.0,Small,2.3,0.136,0.15,61.39063,144.44853,9.82250004,999.0,0.2987860962916192,0.6882506978268382,0.6546174921312331,0.831
351,CRSP,CRISPR Therapeutics AG,Healthcare,Increase,Above Fair Price,UnderValued,No Data,55.66,0.1472636149196591,4259492864.0,Small,2.08,5.263,-2.004,-7.90625,10.575717,-8.200419076983302,999.0,0.2720430783854643,0.6496056008318282,0.2957331728111201,0.647
355,CSBR,"Champions Oncology, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,7.89,-0.0130765945361462,106632560.0,Small,1.01,0.02,0.15,34.304348,394.5,3.945,999.0,0.141974764023711,0.6860450348584157,0.1201335778939101,0.591
367,CUTR,"Cutera, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,33.45,0.1357053055702237,600651648.0,Small,1.57,0.452,0.25,42.34177,74.004425,35.422212299589496,999.0,0.2100479005121053,0.6219252727223801,0.1368821570720817,0.664
395,EDAP,EDAP TMS S.A.,Healthcare,Increase,Above Fair Price,UnderValued,No Data,7.21,0.1286250331405072,240425376.0,Small,1.54,0.004,0.03,721.0,1802.4999,1.337087116324574,999.0,0.2064011253430841,0.638655361309074,0.1742120920227758,0.582
542,ICLR,ICON plc,Healthcare,Increase,Below Fair Price,OverValued,No Data,220.25,0.2643384495783398,17927866368.0,Large,0.87,2.939,0.2548,19.152174,74.94046,241.42151559787985,999.0,0.1249564799016124,0.296963676469605,0.2230683588227076,0.841
