,weights,returns,volatility,sectors
LHX,0.013826749999999999,0.0026310922574999994,0.0037802334499999995,Industry
ODFL,0.10151224999999998,0.038844677584999994,0.030251665622499996,Industry
GLDD,0.00539525,0.0012017919375,0.0021963523225,Industry
HSON,0.01370425,0.0024022179825,0.006468680084999999,Industry
ISSC,0.00114975,0.00019803294,0.0006262918199999999,Industry
KRNT,0.014195999999999999,0.005569942559999999,0.0072484776,Industry
QRHC,0.008407,0.0020536619599999997,0.00592617837,Industry
RCII,0.01277325,0.0037557186975,0.00613575837,Industry
SBLK,0.0040355,0.0010903517449999999,0.00235794265,Industry
AMD,0.0083643,0.004764388923,0.004718385273,Technology
EPAM,0.0105651,0.004465233864,0.00397670364,Technology
APPS,0.03281355,0.043478938156499995,0.023594254991999998,Technology
ASML,0.020096999999999997,0.008261072819999998,0.007248384989999999,Technology
AUDC,0.01645455,0.005967571648499999,0.007344652937999999,Technology
DSGX,0.00118965,0.00031599483300000003,0.00034669969950000003,Technology
TTD,0.015516899999999998,0.014835397751999999,0.010604094291,Technology
TSLA,0.04258939999999999,0.03149869434599999,0.026028937703999996,Consumer Cyclical
CHDN,0.011387599999999998,0.004073572271999999,0.004882547375999999,Consumer Cyclical
CLAR,0.030013199999999997,0.009203247648,0.011811094595999999,Consumer Cyclical
FIVE,0.0050862,0.0016913140859999998,0.0023036417039999997,Consumer Cyclical
FOXF,0.010751999999999998,0.003953295359999999,0.004974090239999999,Consumer Cyclical
HTHT,0.0056798,0.0013918917879999998,0.00279588155,Consumer Cyclical
LULU,0.034491799999999996,0.012461887339999998,0.013550448547999997,Consumer Cyclical
IDXX,0.024647699999999998,0.0071781496709999995,0.007521738609,Healthcare
BDSI,0.00422835,0.0010428379604999999,0.0023927809815,Healthcare
CDMO,0.0131775,0.00862625505,0.009069414375000001,Healthcare
EDAP,0.0009114,0.00015877499400000002,0.0005820747240000001,Healthcare
ICLR,0.00846195,0.0018876071864999998,0.002512860672,Healthcare
MEDP,0.0027079499999999998,0.0009343781475,0.0013489111334999998,Healthcare
OPRX,0.022664249999999997,0.018328125689999995,0.015389025749999998,Healthcare
RGEN,0.0236607,0.010607801631,0.009826525317,Healthcare
XOMA,0.0045423,0.001687782411,0.003130008084,Healthcare
SBAC,0.175,0.04152225,0.04683,Real Estate
Bonds,0.3,0.00534,0.0,Bonds
