,weights,returns,volatility,sectors
ETR,0.08000000000000002,0.009502400000000001,0.0208072,Utilities
AMD,0.0068514,0.0039026259539999995,0.003864943254,Technology
EPAM,0.014737799999999999,0.006228783791999999,0.005547307919999999,Technology
ASML,0.0159702,0.006564710412,0.005759972034,Technology
AUDC,0.009544799999999999,0.0034616126159999995,0.004260416927999999,Technology
DSGX,0.0088422,0.002348665164,0.0025768823460000003,Technology
MGIC,0.0034433999999999997,0.0007839933119999999,0.00115043994,Technology
RDWR,0.0006096,0.000104034336,0.000162007296,Technology
IDXX,0.0206544,0.006015180912,0.006303103248,Healthcare
IQV,0.0006252,0.0001506732,0.00018838526399999998,Healthcare
BDSI,0.0041838,0.001031850594,0.0023675705819999997,Healthcare
ICLR,0.0037770000000000004,0.00084253539,0.0011216179200000001,Healthcare
MEDP,0.0048611999999999995,0.00167735706,0.002421509556,Healthcare
MODV,0.005601,0.00113683497,0.00214927173,Healthcare
RGEN,0.020297399999999997,0.009099933341999999,0.008429713193999998,Healthcare
TROW,0.024560000000000002,0.0047508864,0.007378069600000001,Financial Services
CG,0.031718,0.008763683400000001,0.011526955560000001,Financial Services
CSWC,0.021091,0.004188461689999999,0.00698006645,Financial Services
TBBK,0.022631000000000002,0.0091497133,0.0121709518,Financial Services
CBRE,0.03152,0.0076927712,0.011070454399999999,Real Estate
SBAC,0.06848,0.0162482496,0.018325248,Real Estate
Bonds,0.6,0.01068,0.0,Bonds
