,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
52,COP,ConocoPhillips,Energy,Increase,Above Fair Price,UnderValued,Not Sustainable,89.27,0.0808561275088817,117742665728.0,Large,1.62,3.687,-0.018000000000000002,11.444871000000001,24.212095,10.774530084188441,34.87,0.2161258591271405,0.4206813348574402,0.14879427914536847,0.621
767,QNST,"QuinStreet, Inc.",Communication Services,Increase,Below Fair Price,UnderValued,No Data,10.76,-0.0028362844383259997,583648256.0,Small,0.73,0.223,0.25,11.569892999999999,48.25112,11.394409408155784,999.0,0.1079381957795139,0.5879753358186337,0.2695900150683081,0.633
893,TTGT,"TechTarget, Inc.",Communication Services,Increase,Below Fair Price,OverValued,No Data,73.2,0.2633077600398072,2109601920.0,Small,0.89,0.6940000000000001,0.3883,28.262548,105.4755,199.31978835449425,999.0,0.1273876633476265,0.4557098459028583,0.5402163795896469,1.143
56,CTLT,"Catalent, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,97.61,0.1718035335453003,16709660672.0,Large,1.34,3.177,0.1617,23.240477,30.723953,53.46008590293272,999.0,0.1820892908829433,0.3595035517245141,0.2858141015496978,0.864
102,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Increase,Below Fair Price,OverValued,Not Sustainable,489.56,0.27228967237564,41511555072.0,Large,0.94,8.718,0.243,52.025504999999995,56.155080000000005,492.87355167979666,20.74,0.1334656219626617,0.3051682123350466,0.2912339865220406,0.904
272,BDSI,BioDelivery Sciences Internatio,Healthcare,Increase,Below Fair Price,UnderValued,No Data,5.56,0.0917097979843979,549305216.0,Small,0.84,0.29,0.25,16.848484,19.172415,5.887818002831392,999.0,0.1213097047325913,0.5658906168834178,0.2466274768171832,0.613
631,MEDP,"Medpace Holdings, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,140.03,0.1755287424985363,5032566272.0,Small,1.32,4.83,0.1421,25.55292,28.991718,65.80330508926768,999.0,0.1796581074369293,0.4981298665934074,0.3450480447989288,0.941
651,MODV,ModivCare Inc.,Healthcare,Increase,Below Fair Price,OverValued,No Data,101.51,0.2099904964387156,1421119744.0,Small,0.59,1.594,0.6845,13.552736999999999,63.682559999999995,1575.5689355375355,999.0,0.0909199116574153,0.3837285996369839,0.20297078147636394,0.63
778,RGEN,Repligen Corporation,Healthcare,Increase,Below Fair Price,OverValued,No Data,181.46,0.4555904556978458,10032651264.0,Large,0.81,2.101,0.285,57.97444,86.36839,246.3760377250554,999.0,0.1176629295635702,0.4153065829647982,0.4483275075162317,0.942
37,CAT,"Caterpillar, Inc.",Industrials,Increase,Below Fair Price,UnderValued,Not Sustainable,193.16,0.0842141713736195,104488361984.0,Large,0.9,9.347999999999999,0.3224,17.721102,20.663244,339.52535657974124,34.28,0.1286032550706336,0.3149582955642885,0.1758011846215353,0.729
207,URI,"United Rentals, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Sustainable,311.82,0.2219838569928927,22574022656.0,Large,1.91,16.534000000000002,0.2123,12.180469,18.85932,250.6596047236512,18.26,0.2513780190943446,0.4453862180187479,0.1910181712900607,0.665
245,ARCB,ArcBest Corporation,Industrials,Increase,Below Fair Price,UnderValued,No Data,85.22,0.1736524112200526,2178930432.0,Small,1.65,6.407,0.33,9.532439,13.301077,157.72325871921169,999.0,0.2197726342961616,0.5066918586433663,0.2305083596253223,0.706
467,FWRD,Forward Air Corporation,Industrials,Increase,Above Fair Price,UnderValued,No Data,98.63,0.1269830340028672,2658887168.0,Small,1.17,2.198,0.1316,18.71537,44.872612,42.6515608062754,999.0,0.1614242315918236,0.3143176018769033,0.1731505942036018,0.616
525,HSON,"Hudson Global, Inc.",Industrials,Increase,Above Fair Price,UnderValued,No Data,29.45,-0.0417418326416716,79730872.0,Small,0.39,0.8,0.07,23.560001,36.8125,7.695356418605705,999.0,0.0666080771972745,0.4720195224275634,0.17528598775531454,0.651
563,ISSC,Innovative Solutions and Suppor,Industrials,Increase,Above Fair Price,UnderValued,No Data,7.26,0.1168901919199587,125208864.0,Small,1.2,0.29,0.2,25.034485,25.034485,5.324236215386216,999.0,0.1650710067608448,0.5447225581934024,0.17224473574780538,0.657
577,KRNT,Kornit Digital Ltd.,Industrials,Increase,Below Fair Price,UnderValued,No Data,87.4,0.2009870940664569,4067307776.0,Small,1.72,0.43,0.847,63.79561999999999,203.25581,3107.4412341364564,999.0,0.2282817763572109,0.5105995924074204,0.39236295876795213,0.82
772,RCII,Rent-A-Center Inc.,Industrials,Increase,Below Fair Price,UnderValued,No Data,37.71,0.0293535558038797,2494146816.0,Small,1.48,2.799,0.3429999999999999,5.3112674,13.472669,76.17809249454491,999.0,0.1991075750050419,0.4803562063146793,0.2940292248414611,0.664
798,SAIA,"Saia, Inc.",Industrials,Increase,Below Fair Price,OverValued,No Data,257.07,0.3683991146449874,6770350080.0,Small,1.34,8.23,0.3779999999999999,22.471155,31.235725,654.6117932660844,999.0,0.1820892908829433,0.3980324762427282,0.3984552947758813,1.044
5,ADSK,"Autodesk, Inc.",Technology,Increase,Below Fair Price,UnderValued,Sustainable,217.38,0.1909972055534983,47817732096.0,Large,1.43,5.928,0.2883,31.967647999999997,36.67004,302.03834432782725,15.45,0.1930296163900067,0.3848940997411827,0.2091611939131144,0.621
14,AMD,"Advanced Micro Devices, Inc.",Technology,Increase,Below Fair Price,OverValued,No Data,117.11,0.3190335859160902,141423198208.0,Large,1.95,3.242,0.3532,35.062874,36.122765,253.24526821347686,999.0,0.2562403859863728,0.5641073534845676,0.5696068218847044,1.019
17,ANSS,"ANSYS, Inc.",Technology,Increase,Above Fair Price,UnderValued,Sustainable,305.4575,0.1632923130667727,26652082176.0,Large,1.24,5.318,0.1118,38.470715000000006,57.438416000000004,112.6886707744478,13.16,0.1699333736528729,0.3167930924552715,0.2716628484847017,0.783
73,EPAM,"EPAM Systems, Inc.",Technology,Increase,Below Fair Price,OverValued,No Data,428.835,0.408648851251653,24323348480.0,Large,1.43,7.211,0.285,38.391674,59.469559999999994,582.2477393379265,999.0,0.1930296163900067,0.3764047957361339,0.4226417487809333,0.771
176,QCOM,QUALCOMM Incorporated,Technology,Increase,Below Fair Price,UnderValued,Sustainable,165.65,0.1307693260874896,185527992320.0,Large,1.27,7.87,0.2562,14.231098999999999,21.048285,183.40450145035086,18.0,0.1735801488218941,0.3759611133834176,0.2976234092247587,0.738
243,AOSL,Alpha and Omega Semiconductor L,Technology,Increase,Above Fair Price,UnderValued,No Data,49.26,0.1653965267550214,1299355648.0,Small,2.56,2.612,0.17,11.617925,18.859112,28.76448542093593,999.0,0.3303914810898022,0.5707943067759487,0.2017500723168475,0.709
249,ASML,ASML Holding N.V. - New York Re,Technology,Increase,Below Fair Price,OverValued,No Data,634.79,0.3419632815808529,258025619456.0,Large,0.95,15.017000000000001,0.298,32.420326,42.271423,943.60823418666,999.0,0.1346812136856688,0.3606687625312729,0.41106400603179777,1.053
258,AUDC,AudioCodes Ltd.,Technology,Increase,Below Fair Price,OverValued,No Data,27.675,0.2341875383602807,914105216.0,Small,0.54,1.028,0.25,16.875,26.921206,29.306717914574413,999.0,0.0848419530423801,0.4463574482314562,0.3626719270354326,0.796
386,DSGX,The Descartes Systems Group Inc,Technology,Increase,Below Fair Price,OverValued,No Data,69.62,0.2403157767600227,5893862400.0,Small,1.03,0.98,0.26,66.942314,71.04082,79.20605602242358,999.0,0.1444059474697251,0.2914318096367945,0.2656172916320321,0.899
621,MANT,ManTech International Corporati,Technology,Increase,Above Fair Price,UnderValued,No Data,78.57,0.1093704258622281,3200871168.0,Small,0.79,3.4010000000000002,0.0538,22.512894,23.102028,17.896575095774367,999.0,0.1152317461175561,0.3442492911547311,0.17032903503290542,0.699
639,MGIC,Magic Software Enterprises Ltd.,Technology,Increase,Above Fair Price,UnderValued,No Data,18.3,0.1349968623294732,908245440.0,Small,1.39,0.57,0.1,17.428572,32.105263,6.133024437527182,999.0,0.1881672494979785,0.3340997843387309,0.2276767586951001,0.651
708,ON,ON Semiconductor Corporation,Technology,Increase,Below Fair Price,UnderValued,Average,58.44,0.20412489775641798,25177937920.0,Large,1.74,1.5319999999999998,0.5545,17.926379999999998,38.146214,440.2670510449066,26.16,0.2307129598032249,0.5076552008702714,0.3437771630059403,0.786
751,POWI,"Power Integrations, Inc.",Technology,Increase,Below Fair Price,OverValued,No Data,87.75,0.1722359318560893,5294106624.0,Small,0.98,2.458,0.2529,26.75305,35.699757,94.8820944442877,999.0,0.1383279888546899,0.3968857974773399,0.2263545705249601,0.709
783,RMBS,"Rambus, Inc.",Technology,Increase,Above Fair Price,UnderValued,No Data,26.29,0.1318361572440334,2875205888.0,Small,0.99,0.002,0.0998,18.00685,13145.0,8.79636952716857,999.0,0.1395435805776969,0.3496219827032569,0.16092697111858836,0.644
65,DHI,"D.R. Horton, Inc.",Consumer Cyclical,Increase,Above Fair Price,UnderValued,Average,81.3366,0.2046218235894776,28970551296.0,Large,1.63,11.41,0.106,5.326562,7.1285367,28.626721842994836,22.55,0.2173414508501475,0.3706273376002452,0.23888625750958936,0.625
616,LULU,lululemon athletica inc.,Consumer Cyclical,Increase,Below Fair Price,UnderValued,Sustainable,304.58,0.1640122609511294,39381889024.0,Large,1.32,6.6610000000000005,0.2789999999999999,32.927566999999996,45.72587,396.4840787339497,16.06,0.1796581074369293,0.3928627132033152,0.3612961354404397,0.991
625,MBUU,"Malibu Boats, Inc.",Consumer Cyclical,Increase,Above Fair Price,UnderValued,No Data,67.37,0.1426857744007874,1403970688.0,Small,1.73,5.497000000000001,0.15,8.715395,12.255775,33.6849975875,999.0,0.2294973680802179,0.4900828296139587,0.2773159838899566,0.611
629,MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,Increase,Above Fair Price,UnderValued,No Data,73.28,0.2122739601023464,1373003392.0,Small,1.68,3.315,0.14,16.654545000000002,22.10558,33.870261540780426,999.0,0.2234194094651827,0.4662591193240339,0.2684726971574254,0.661
792,RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Increase,Below Fair Price,UnderValued,No Data,49.34,0.1237736986366495,2712584960.0,Small,1.22,3.708,0.2866,11.803828,13.306365,67.74551090756458,999.0,0.1675021902068589,0.3521751954216464,0.18741672558404468,0.647
197,TROW,"T. Rowe Price Group, Inc.",Financial Services,Increase,Above Fair Price,UnderValued,Sustainable,142.56,0.1207240989668463,32674465792.0,Large,1.22,13.27,0.122,10.678651,10.743029,57.09825349549318,16.74,0.1675021902068589,0.3004119014738969,0.1934409508428132,0.692
317,CG,The Carlyle Group Inc.,Financial Services,Decrease,Below Fair Price,UnderValued,No Data,44.83,0.1390043558347886,15980192768.0,Large,1.43,7.73,0.2826,11.041872999999999,5.799483,59.85209202753225,999.0,0.1930296163900067,0.3634199465564457,0.27629609219768314,0.836
869,TBBK,"The Bancorp, Inc.",Financial Services,Increase,Above Fair Price,UnderValued,No Data,29.29,0.1266267010191772,1668956032.0,Small,1.3,1.825,0.12,13.497696,16.049314000000003,11.544389946964829,999.0,0.1772269239909152,0.5377956745607518,0.4043024166854248,0.895
184,SBAC,SBA Communications Corporation,Real Estate,Increase,Below Fair Price,OverValued,Sustainable,297.16,0.2042531142449553,32325361664.0,Large,0.31,2.6060000000000003,1.8932,74.663315,114.02917,599909.7544044027,14.52,0.0568833434132182,0.2676043181436077,0.23726847243340865,0.839
82,FCX,"Freeport-McMoRan, Inc.",Basic Materials,Increase,Below Fair Price,UnderValued,Not Sustainable,42.74,0.0189448325592931,62762409984.0,Large,2.07,2.641,0.289,12.039437,16.183264,59.676070375260316,34.5,0.2708274866624572,0.5076432725280805,0.2349864904899533,0.775
157,NUE,Nucor Corporation,Basic Materials,Increase,Below Fair Price,UnderValued,Not Sustainable,122.64,0.142525608164252,35050389504.0,Large,1.44,16.577,0.3499,7.3349285,7.398202400000001,259.4394191100064,36.58,0.1942452081130137,0.3603220591011265,0.19317364879766827,0.721
809,SCHN,"Schnitzer Steel Industries, Inc",Basic Materials,Increase,Above Fair Price,UnderValued,No Data,41.58,0.0198444548901406,1156909440.0,Small,1.52,5.657,0.1,5.7669907,7.350186,13.935036659642256,999.0,0.2039699418970701,0.47238746088569605,0.15605224601493406,0.661
855,STLD,"Steel Dynamics, Inc.",Basic Materials,Increase,Below Fair Price,UnderValued,Not Sustainable,63.23,0.1863018361931798,12548057088.0,Large,1.51,11.005,0.3632,5.06245,5.74557,146.0995253526799,34.29,0.20275435017406304,0.4115056250298424,0.15911809459815585,0.659
