,weights,returns,volatility,sectors
LHX,0.006464400000000001,0.001230110676,0.00176736696,Industry
ODFL,0.030416800000000004,0.011639292688000001,0.009064510568,Industry
SAIA,0.0031188000000000006,0.0012427170480000002,0.0012413759640000001,Industry
AXP,0.0014604000000000004,0.0003068592480000001,0.0005009172000000002,Financial Services
TROW,0.010977200000000003,0.0021234295680000004,0.003297660652000001,Financial Services
CG,0.015980400000000002,0.00441538452,0.005807596968000001,Financial Services
CSWC,0.011582000000000002,0.0023000693800000003,0.003833062900000001,Financial Services
CBRE,0.012610800000000002,0.0030777918480000004,0.004429165176000001,Real Estate
SBAC,0.027389200000000002,0.006498635484000001,0.00732934992,Real Estate
ETR,0.04000000000000001,0.0047512000000000006,0.0104036,Utilities
CCEP,0.04000000000000001,0.004416800000000001,0.011819600000000001,Consumer Defensive
Bonds,0.8,0.014240000000000001,0.0,Bonds
