,weights,returns,volatility,sectors
LHX,0.0096774,0.0018415124459999997,0.0026458011599999995,Industry
ODFL,0.045642,0.01746536772,0.01360177242,Industry
SAIA,0.004680599999999999,0.0018650318759999996,0.0018630192179999996,Industry
AXP,0.0007318000000000001,0.00015376581600000004,0.00025100740000000006,Financial Services
TROW,0.005487800000000002,0.0010615600320000003,0.0016485899980000006,Financial Services
CG,0.007994800000000002,0.0022089632400000003,0.0029054702160000007,Financial Services
CSWC,0.005785600000000001,0.0011489623040000002,0.0019147443200000004,Financial Services
CBRE,0.025216000000000002,0.00615421696,0.00885636352,Real Estate
SBAC,0.054784000000000006,0.012998599680000002,0.014660198400000001,Real Estate
EPAM,0.006119000000000001,0.0025861341600000006,0.0023031916000000006,Tech
QCOM,1.62e-05,4.8214440000000005e-06,6.090552e-06,Tech
ASML,0.006919000000000001,0.0028441241400000003,0.00249547573,Tech
DSGX,0.0040598000000000006,0.0010783640760000002,0.0011831475140000002,Tech
MGIC,0.0018378000000000003,0.00041843030400000005,0.0006140089800000001,Tech
RDWR,0.0010482000000000002,0.00017888581200000005,0.00027856963200000007,Tech
DHI,0.0017638000000000005,0.0004213541820000001,0.0006537171940000003,Consumer Cyclical
HLT,0.0041466,0.00087016401,0.0013046032920000002,Consumer Cyclical
CLAR,0.005962200000000001,0.0018282490080000003,0.0023463045660000004,Consumer Cyclical
LULU,0.008127400000000002,0.0029364296200000005,0.0031929303640000004,Consumer Cyclical
Bonds,0.8,0.014240000000000001,0.0,Bonds
