,weights,returns,volatility,sectors
LHX,0.0048387,0.0009207562229999999,0.0013229005799999998,Industry
ODFL,0.022821,0.00873268386,0.00680088621,Industry
SAIA,0.0023402999999999996,0.0009325159379999998,0.0009315096089999998,Industry
AXP,0.0016465499999999999,0.000345973086,0.00056476665,Financial Services
TROW,0.01234755,0.002388510072,0.0037093274955,Financial Services
CG,0.0179883,0.00497016729,0.0065373079859999995,Financial Services
CSWC,0.013017599999999999,0.0025851651839999996,0.00430817472,Financial Services
CBRE,0.023639999999999998,0.005769578399999999,0.008302840799999999,Real Estate
SBAC,0.051359999999999996,0.0121861872,0.013743936,Real Estate
ETR,0.105,0.0124719,0.02730945,Utilities
FWONK,0.045,0.0070254,0.0167175,Communication Services
Bonds,0.7,0.012459999999999999,0.0,Bonds
