,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
78,ETR,Entergy Corporation,Utilities,Increase,Above Fair Price,UnderValued,Not Sustainable,105.055,0.0920090957258779,21114058752.0,Large,0.61,6.179,0.06,16.570189,17.001942,25.226613539582544,30.28,0.0933510951034294,0.2600919745149293,0.1187822842409551,0.514
588,LBRDA,Liberty Broadband Corporation,Communication Services,Increase,Below Fair Price,UnderValued,No Data,144.16,0.1231048750819021,25568075776.0,Large,0.97,3.234,0.6382,29.480574,44.576378,1741.1513687813924,999.0,0.1371123971316828,0.2763566574952179,0.108366699475733,0.407
542,ICLR,ICON plc,Healthcare,Increase,Below Fair Price,OverValued,No Data,220.25,0.2643384495783398,17927866368.0,Large,0.87,2.939,0.2548,19.152174,74.94046,241.42151559787985,999.0,0.1249564799016124,0.296963676469605,0.2230683588227076,0.821
839,SNY,Sanofi,Healthcare,Increase,Above Fair Price,UnderValued,No Data,52.89,0.0734908301825705,132940603392.0,Large,0.46,2.787,0.103,12.357476,18.977396,18.16530281402656,999.0,0.0751172192583238,0.217860519859034,0.0893284763876178,0.328
12,ALLE,Allegion plc,Industrials,Increase,Above Fair Price,UnderValued,Average,114.1447,0.0971798283905254,10238312448.0,Large,1.14,5.086,0.0776999999999999,19.955368,22.442923,31.814577646056204,23.59,0.1577774564228025,0.2792126426398225,0.1180044623599338,0.394
15,AME,"AMETEK, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Average,128.28,0.1555683159733367,29674369024.0,Large,1.31,3.99,-0.012,23.79963,32.150375,16.355389115541623,25.95,0.1784425157139222,0.2696224538634031,0.2069435199029104,0.764
45,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Sustainable,92.095,0.0552390426398146,11971152896.0,Large,0.76,5.646,0.1239,15.222314,16.311548,37.45195857525241,19.83,0.111584970948535,0.2620047286898243,0.0715731762651028,0.379
49,CMI,Cummins Inc.,Industrials,Increase,Above Fair Price,UnderValued,Sustainable,216.06,0.0860946008782228,30903492608.0,Large,1.03,15.211,0.1852,11.83242,14.204194,141.70611381581293,19.36,0.1444059474697251,0.2797699476246725,0.0984620832344531,0.401
87,GD,General Dynamics Corporation,Industrials,Increase,Above Fair Price,UnderValued,Not Sustainable,219.79,0.1478916102306549,61370421248.0,Large,1.08,11.652,0.0855,17.653814,18.862854,65.36808624775844,34.88,0.1504839060847603,0.2470107486673913,0.0598972619526649,0.348
112,J,Jacobs Engineering Group Inc.,Industrials,Increase,Above Fair Price,UnderValued,Average,120.31,0.1019264299772033,15574490112.0,Large,0.82,3.196,0.1303,14.636252,37.64393,51.4914020562226,25.36,0.1188785212865772,0.2913326375694534,0.1610986526317095,0.748
125,LHX,"L3Harris Technologies, Inc.",Industrials,Increase,Below Fair Price,OverValued,No Data,220.65,0.2039613823546302,43297042432.0,Large,0.87,7.514,0.418,16.129385,29.365185,726.9080037116444,999.0,0.1249564799016124,0.2734010279654513,0.1902863606032665,0.734
158,ODFL,"Old Dominion Freight Line, Inc.",Industrials,Increase,Below Fair Price,OverValued,No Data,287.86,0.31024307766249,33107064832.0,Large,1.02,8.087,0.2929,27.974731,35.595398,413.0048546620741,999.0,0.1431903557467181,0.2980058001614677,0.3826581542503724,1.223
219,XYL,Xylem Inc.,Industrials,Increase,Above Fair Price,UnderValued,Sustainable,89.845,0.1404035770882632,16201298944.0,Large,1.03,2.549,0.1876,29.948334,35.247154,60.00881253588295,15.95,0.1444059474697251,0.2925086550195359,0.1365956588064125,0.505
615,LSTR,"Landstar System, Inc.",Industrials,Increase,Above Fair Price,UnderValued,No Data,150.93,0.1234841347809823,5751730688.0,Small,1.01,8.69,0.218,15.44831,17.368238,126.55828294118876,999.0,0.141974764023711,0.2751495705882278,0.1430785053824308,0.547
57,CTSH,Cognizant Technology Solutions ,Technology,Increase,Above Fair Price,UnderValued,Sustainable,85.76,0.0985981027300706,45567635456.0,Large,1.13,3.545,0.1398,18.973452,24.19182,39.576018180602006,17.47,0.1565618646997955,0.290279010863123,0.1155364764643673,0.421
161,ORCL,Oracle Corporation,Technology,Increase,Above Fair Price,UnderValued,Sustainable,74.26,0.1154127908329325,198307610624.0,Large,0.81,3.543,0.0964,14.11787,20.959639,24.16382231577757,14.47,0.1176629295635702,0.2769716460174193,0.1495104840173158,0.562
386,DSGX,The Descartes Systems Group Inc,Technology,Increase,Below Fair Price,OverValued,No Data,69.62,0.2403157767600227,5893862400.0,Small,1.03,0.98,0.26,66.942314,71.04082,79.20605602242358,999.0,0.1444059474697251,0.2914318096367945,0.265617291632032,0.879
776,RDWR,Radware Ltd.,Technology,Increase,Above Fair Price,UnderValued,No Data,30.86,0.0619075956614949,1419519872.0,Small,0.91,0.34,0.15,35.471264,90.76471,15.4300007,999.0,0.1298188467936406,0.2657635201265618,0.1706600659695996,0.581
483,GNTX,Gentex Corporation,Consumer Cyclical,Increase,Above Fair Price,UnderValued,Average,30.18,0.1084778489145681,7138173440.0,Small,0.95,1.732,0.158,15.242424,17.424942,16.06148529960887,23.49,0.1346812136856688,0.2774211784498774,0.0984970521367336,0.361
828,SLGN,Silgan Holdings Inc.,Consumer Cyclical,Increase,Above Fair Price,UnderValued,No Data,41.91,0.082411337164312,4627282944.0,Small,0.8,3.009,0.064,11.235925,13.928215,10.410743407112452,999.0,0.1164473378405632,0.2163758375481024,0.0780097639168686,0.47
74,EQIX,"Equinix, Inc.",Real Estate,Increase,Below Fair Price,OverValued,Sustainable,681.02,0.1989202102803438,61319860224.0,Large,0.36,4.743,0.37,88.10091,143.58423,1645.6384035235496,14.71,0.0629613020282534,0.2722856217147544,0.1481630333115158,0.562
