,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
78,ETR,Entergy Corporation,Utilities,Increase,Above Fair Price,UnderValued,Not Sustainable,105.055,0.0920090957258779,21114058752.0,Large,0.61,6.178999999999999,0.06,16.570189000000003,17.001942,25.226613539582548,30.28,0.0933510951034294,0.2600919745149293,0.11878228424095515,0.533
60,CVX,Chevron Corporation,Energy,Increase,Above Fair Price,UnderValued,Not Sustainable,134.37,0.0649476270629207,259023699968.0,Large,1.27,5.172999999999999,-0.049,14.129335999999999,25.975255999999998,12.15112275968152,43.22,0.1735801488218941,0.3344781468582913,0.08437796374667329,0.495
307,CCOI,"Cogent Communications Holdings,",Communication Services,Increase,Below Fair Price,OverValued,No Data,62.5,0.1735707646152246,2979612416.0,Small,0.15,0.48100000000000004,1.0069,57.339447,129.93761999999998,4691.384427533239,999.0,0.0374338758451056,0.3213066284700172,0.1175057102813659,0.475
465,FWONA,Liberty Media Corporation - Ser,Communication Services,Increase,Above Fair Price,UnderValued,No Data,56.62,0.1087239122850782,13825018880.0,Large,1.23,0.004,-0.685,471.83334,14154.999,0.0002457277814271,999.0,0.1687177819298659,0.3635163317414297,0.13608876216396548,0.483
466,FWONK,Liberty Media Corporation - Ser,Communication Services,Increase,Above Fair Price,UnderValued,No Data,61.87,0.0965064420780112,14189512704.0,Large,1.23,0.004,-0.685,515.5833,15467.499,0.0002685125031444,999.0,0.1687177819298659,0.3714992021600902,0.15611883606604304,0.51
588,LBRDA,Liberty Broadband Corporation,Communication Services,Increase,Below Fair Price,UnderValued,No Data,144.16,0.1231048750819021,25568075776.0,Large,0.97,3.234,0.6382,29.480574,44.576378000000005,1741.1513687813924,999.0,0.1371123971316828,0.2763566574952179,0.10836669947573307,0.415
56,CTLT,"Catalent, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,97.61,0.1718035335453003,16709660672.0,Large,1.34,3.177,0.1617,23.240477,30.723953,53.46008590293272,999.0,0.1820892908829433,0.3595035517245141,0.2858141015496978,0.876
102,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Increase,Below Fair Price,OverValued,Not Sustainable,489.56,0.27228967237564,41511555072.0,Large,0.94,8.718,0.243,52.025504999999995,56.155080000000005,492.87355167979666,20.74,0.1334656219626617,0.3051682123350466,0.2912339865220406,0.915
106,IQV,"IQVIA Holdings, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,Sustainable,226.16,0.1830655705625421,43205607424.0,Large,1.4,3.929,0.2213,22.281775,57.561719999999994,194.31505347933125,19.24,0.1893828412209856,0.3013225235486744,0.2409980698968488,0.795
287,BRKR,Bruker Corporation,Healthcare,Increase,Above Fair Price,UnderValued,No Data,68.965,0.159606749802551,10458887168.0,Large,1.23,1.771,0.2055,30.115719,38.941272999999995,52.7015125010845,999.0,0.1687177819298659,0.3338620052995442,0.2420526821979976,0.77
