,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
78,ETR,Entergy Corporation,Utilities,Increase,Above Fair Price,UnderValued,Not Sustainable,105.055,0.0920090957258779,21114058752.0,Large,0.61,6.178999999999999,0.06,16.570189000000003,17.001942,25.226613539582548,30.28,0.0933510951034294,0.2600919745149293,0.11878228424095515,0.519
60,CVX,Chevron Corporation,Energy,Increase,Above Fair Price,UnderValued,Not Sustainable,134.37,0.0649476270629207,259023699968.0,Large,1.27,5.172999999999999,-0.049,14.129335999999999,25.975255999999998,12.15112275968152,43.22,0.1735801488218941,0.3344781468582913,0.08437796374667329,0.523
56,CTLT,"Catalent, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,No Data,97.61,0.1718035335453003,16709660672.0,Large,1.34,3.177,0.1617,23.240477,30.723953,53.46008590293272,999.0,0.1820892908829433,0.3595035517245141,0.2858141015496978,0.861
102,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Increase,Below Fair Price,OverValued,Not Sustainable,489.56,0.27228967237564,41511555072.0,Large,0.94,8.718,0.243,52.025504999999995,56.155080000000005,492.87355167979666,20.74,0.1334656219626617,0.3051682123350466,0.2912339865220406,0.903
106,IQV,"IQVIA Holdings, Inc.",Healthcare,Increase,Above Fair Price,UnderValued,Sustainable,226.16,0.1830655705625421,43205607424.0,Large,1.4,3.929,0.2213,22.281775,57.561719999999994,194.31505347933125,19.24,0.1893828412209856,0.3013225235486744,0.2409980698968488,0.782
287,BRKR,Bruker Corporation,Healthcare,Increase,Above Fair Price,UnderValued,No Data,68.965,0.159606749802551,10458887168.0,Large,1.23,1.771,0.2055,30.115719,38.941272999999995,52.7015125010845,999.0,0.1687177819298659,0.3338620052995442,0.2420526821979976,0.748
542,ICLR,ICON plc,Healthcare,Increase,Below Fair Price,OverValued,No Data,220.25,0.2643384495783398,17927866368.0,Large,0.87,2.9389999999999996,0.2548,19.152174,74.94046,241.42151559787982,999.0,0.1249564799016124,0.296963676469605,0.2230683588227076,0.822
651,MODV,ModivCare Inc.,Healthcare,Increase,Below Fair Price,OverValued,No Data,101.51,0.2099904964387156,1421119744.0,Small,0.59,1.594,0.6845,13.552736999999999,63.682559999999995,1575.5689355375355,999.0,0.0909199116574153,0.3837285996369839,0.20297078147636394,0.629
15,AME,"AMETEK, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Average,128.28,0.1555683159733367,29674369024.0,Large,1.31,3.99,-0.012,23.79963,32.150375,16.355389115541627,25.95,0.1784425157139222,0.2696224538634031,0.2069435199029104,0.767
37,CAT,"Caterpillar, Inc.",Industrials,Increase,Below Fair Price,UnderValued,Not Sustainable,193.16,0.0842141713736195,104488361984.0,Large,0.9,9.347999999999999,0.3224,17.721102,20.663244,339.52535657974124,34.28,0.1286032550706336,0.3149582955642885,0.1758011846215353,0.743
92,GWW,"W.W. Grainger, Inc.",Industrials,Increase,Above Fair Price,UnderValued,Sustainable,474.32,0.1062721479898664,24436967424.0,Large,1.24,17.495,0.1538,20.304794,27.111746000000004,244.3068739416251,14.6,0.1699333736528729,0.3175451568114952,0.154030465670024,0.631
